trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.05, 'e': 0.5}",20,0,-72.2651791516247,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
101,False,"{'a': 0.05, 'e': 0.495}",20,7,10.367615617459492,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.05, 'e': 0.49}",25,1,-53.27536907087026,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 0}",1
103,False,"{'a': 0.05, 'e': 0.485}",20,0,-27.17666560023838,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
104,False,"{'a': 0.05, 'e': 0.48}",30,0,-55.5026217552845,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
105,False,"{'a': 0.05, 'e': 0.475}",25,19,12.92536048572393,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.05, 'e': 0.47}",30,0,-72.38419144045447,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
107,False,"{'a': 0.05, 'e': 0.46499999999999997}",25,0,-77.53745702094194,"{0: 19, 1: 0, 2: 3, 3: 3, 4: 0}",0
108,False,"{'a': 0.05, 'e': 0.45999999999999996}",20,6,-52.93576797362745,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
109,False,"{'a': 0.05, 'e': 0.45499999999999996}",20,0,-108.26904458038426,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
110,False,"{'a': 0.05, 'e': 0.44999999999999996}",35,23,-4.530016923623254,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
111,False,"{'a': 0.05, 'e': 0.44499999999999995}",20,0,-87.81713698252125,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
112,False,"{'a': 0.05, 'e': 0.43999999999999995}",20,6,-36.01042166882715,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.05, 'e': 0.43499999999999994}",30,22,-9.878124378405921,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
114,False,"{'a': 0.05, 'e': 0.42999999999999994}",25,19,11.622359735899925,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.05, 'e': 0.42499999999999993}",30,16,-10.186627484016721,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
116,False,"{'a': 0.05, 'e': 0.42000000000000004}",20,5,12.452478282041522,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.05, 'e': 0.41500000000000004}",20,5,-31.09900900172328,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
118,False,"{'a': 0.05, 'e': 0.41000000000000003}",20,0,-14.08302413690064,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
119,False,"{'a': 0.05, 'e': 0.405}",25,0,-20.632081060472633,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
120,False,"{'a': 0.05, 'e': 0.4}",20,2,23.088452853457817,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.05, 'e': 0.395}",30,10,-3.0583248447754277,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
122,False,"{'a': 0.05, 'e': 0.39}",25,9,0.06759232991900399,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
123,False,"{'a': 0.05, 'e': 0.385}",20,9,14.236745050170516,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.05, 'e': 0.38}",30,7,-67.49960624691145,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 1}",1
125,False,"{'a': 0.05, 'e': 0.375}",25,7,19.090752410632245,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.05, 'e': 0.37}",20,0,12.87562584801551,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.05, 'e': 0.365}",25,17,-0.4334232055561704,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.05, 'e': 0.36}",20,10,1.8776773182237503,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.05, 'e': 0.355}",20,11,-9.349976863062931,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.05, 'e': 0.35}",35,21,-34.152764927283066,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
131,False,"{'a': 0.05, 'e': 0.345}",25,0,-11.566087210880792,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
132,False,"{'a': 0.05, 'e': 0.33999999999999997}",20,0,-97.20451109987411,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
133,False,"{'a': 0.05, 'e': 0.33499999999999996}",20,2,-32.72279607845374,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
134,False,"{'a': 0.05, 'e': 0.32999999999999996}",20,10,17.32381402935973,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.05, 'e': 0.32499999999999996}",25,0,15.273390905998248,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.05, 'e': 0.31999999999999995}",20,0,-31.598650603413148,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
137,False,"{'a': 0.05, 'e': 0.31499999999999995}",30,15,7.441822398409124,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.05, 'e': 0.30999999999999994}",20,0,-22.636768875290564,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
139,False,"{'a': 0.05, 'e': 0.30499999999999994}",25,10,-85.93356965655234,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
140,False,"{'a': 0.05, 'e': 0.29999999999999993}",25,7,11.93146763732009,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
141,False,"{'a': 0.05, 'e': 0.29500000000000004}",30,7,23.592943074464294,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.05, 'e': 0.29000000000000004}",30,20,-24.302069661281696,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
143,False,"{'a': 0.05, 'e': 0.28500000000000003}",30,0,-87.86385903756113,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
