trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'a': 0.05, 'e': 0.19398004229089189}",20,9,8.23189580852944,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.05, 'e': 0.19204990862075408}",25,0,25.38741161578437,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
166,False,"{'a': 0.05, 'e': 0.1901389801015205}",30,7,23.701638576393577,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.05, 'e': 0.1882470656387468}",20,8,-66.14380142812587,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 2}",1
168,False,"{'a': 0.05, 'e': 0.18637397603940997}",25,0,-30.509329983043944,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
169,False,"{'a': 0.05, 'e': 0.18451952399298926}",20,0,6.0534054725567845,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
170,False,"{'a': 0.05, 'e': 0.18268352405273466}",20,11,11.500499086181861,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.05, 'e': 0.1808657926171221}",25,4,9.673760958058505,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.05, 'e': 0.17906614791149322}",20,11,16.78479694832845,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.05, 'e': 0.17728440996987782}",25,7,35.01009043463688,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.05, 'e': 0.17552040061699686}",20,0,19.35192616024863,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
175,False,"{'a': 0.05, 'e': 0.17377394345044514}",30,0,25.9071364669946,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
176,False,"{'a': 0.05, 'e': 0.17204486382305054}",25,9,3.812826828008711,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.05, 'e': 0.17033298882540943}",25,19,11.759130792233165,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.05, 'e': 0.1686381472685955}",35,20,-57.918036956841085,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
179,False,"{'a': 0.05, 'e': 0.1669601696670407}",25,4,33.95586804520831,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.05, 'e': 0.16529888822158653}",20,14,-12.644009063266811,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
181,False,"{'a': 0.05, 'e': 0.16365413680270405}",20,4,11.494539259910134,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.05, 'e': 0.16202575093388075}",20,3,21.353008088079385,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.05, 'e': 0.16041356777517274}",25,9,23.607950987202848,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.05, 'e': 0.15881742610692068}",35,24,-33.290950174662456,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
185,False,"{'a': 0.05, 'e': 0.1572371663136276}",20,0,20.08569073964749,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
186,False,"{'a': 0.05, 'e': 0.1556726303679973}",20,5,9.355892429422227,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.05, 'e': 0.1541236618151314}",20,15,9.367113727420133,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.05, 'e': 0.15259010575688386}",25,0,41.1179772470558,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
189,False,"{'a': 0.05, 'e': 0.15107180883637084}",20,15,9.93765368316585,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.05, 'e': 0.14956861922263504}",30,16,12.885174235532784,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.05, 'e': 0.14808038659546244}",20,7,21.9981506292797,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.05, 'e': 0.14660696213035015}",20,0,-33.65229772830977,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
193,False,"{'a': 0.05, 'e': 0.14514819848362373}",20,2,28.174584127111252,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.05, 'e': 0.14370394977770293}",30,0,1.0235163189965308,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
195,False,"{'a': 0.05, 'e': 0.1422740715865136}",20,0,24.655276749346942,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
196,False,"{'a': 0.05, 'e': 0.140858420921045}",30,18,17.984639428932255,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.05, 'e': 0.13945685621505094}",35,22,-69.89464553577855,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
198,False,"{'a': 0.05, 'e': 0.13806923731089282}",20,14,5.251997259712263,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.05, 'e': 0.13669542544552385}",25,11,27.244474160511736,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.05, 'e': 0.1353352832366127}",30,0,35.11289747378181,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.05, 'e': 0.13398867466880493}",20,0,-51.48356136539694,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,5,24.272575389449756,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",35,27,12.696558177422808,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,10,18.40466954032924,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,11,28.039487241758913,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,11,24.472164384290682,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
